frame: 139; track: 1; class: hummingbird; bbox: (125, 73, 418, 290);
frame: 140; track: 1; class: hummingbird; bbox: (91, 68, 380, 283);
frame: 141; track: 1; class: hummingbird; bbox: (74, 60, 370, 280);
frame: 142; track: 1; class: hummingbird; bbox: (98, 58, 388, 280);
frame: 143; track: 1; class: hummingbird; bbox: (122, 54, 404, 277);
frame: 144; track: 1; class: hummingbird; bbox: (121, 51, 390, 268);
frame: 145; track: 1; class: hummingbird; bbox: (118, 48, 372, 254);
frame: 146; track: 1; class: hummingbird; bbox: (107, 37, 351, 233);
frame: 147; track: 1; class: hummingbird; bbox: (111, 40, 334, 214);
frame: 148; track: 1; class: hummingbird; bbox: (115, 39, 322, 196);
frame: 149; track: 1; class: hummingbird; bbox: (124, 38, 326, 182);
frame: 150; track: 1; class: hummingbird; bbox: (115, 36, 316, 176);
frame: 151; track: 1; class: hummingbird; bbox: (109, 35, 314, 173);
frame: 152; track: 1; class: hummingbird; bbox: (107, 33, 317, 171);
frame: 153; track: 1; class: hummingbird; bbox: (105, 33, 320, 170);
frame: 154; track: 1; class: hummingbird; bbox: (103, 32, 322, 169);
frame: 155; track: 1; class: hummingbird; bbox: (101, 32, 325, 169);
frame: 156; track: 1; class: hummingbird; bbox: (95, 26, 332, 169);
frame: 157; track: 1; class: hummingbird; bbox: (93, 24, 337, 170);
frame: 158; track: 1; class: hummingbird; bbox: (94, 29, 336, 171);
frame: 159; track: 1; class: hummingbird; bbox: (103, 31, 346, 171);
frame: 160; track: 1; class: hummingbird; bbox: (96, 32, 344, 172);
frame: 161; track: 1; class: hummingbird; bbox: (93, 32, 345, 173);
frame: 162; track: 1; class: hummingbird; bbox: (90, 32, 347, 174);
frame: 163; track: 1; class: hummingbird; bbox: (88, 32, 351, 177);
frame: 164; track: 1; class: hummingbird; bbox: (87, 32, 375, 192);
frame: 165; track: 1; class: hummingbird; bbox: (75, 32, 386, 208);
frame: 166; track: 1; class: hummingbird; bbox: (62, 32, 393, 225);
frame: 167; track: 1; class: hummingbird; bbox: (55, 32, 398, 239);
frame: 168; track: 1; class: hummingbird; bbox: (75, 32, 415, 247);
frame: 169; track: 1; class: hummingbird; bbox: (91, 32, 424, 252);
frame: 170; track: 1; class: hummingbird; bbox: (95, 32, 416, 253);
frame: 171; track: 1; class: hummingbird; bbox: (73, 32, 389, 254);
frame: 172; track: 1; class: hummingbird; bbox: (86, 32, 391, 253);
frame: 173; track: 1; class: hummingbird; bbox: (102, 32, 394, 249);
frame: 174; track: 1; class: hummingbird; bbox: (109, 32, 387, 244);
frame: 175; track: 1; class: hummingbird; bbox: (109, 31, 373, 236);
frame: 176; track: 1; class: hummingbird; bbox: (98, 31, 353, 228);
frame: 177; track: 1; class: hummingbird; bbox: (105, 31, 352, 222);
frame: 178; track: 1; class: hummingbird; bbox: (114, 31, 357, 217);
frame: 179; track: 1; class: hummingbird; bbox: (113, 31, 348, 209);
frame: 180; track: 1; class: hummingbird; bbox: (113, 30, 342, 201);
frame: 181; track: 1; class: hummingbird; bbox: (111, 30, 338, 196);
frame: 182; track: 1; class: hummingbird; bbox: (111, 30, 341, 196);
frame: 183; track: 1; class: hummingbird; bbox: (116, 30, 350, 196);
frame: 184; track: 1; class: hummingbird; bbox: (112, 30, 346, 194);
frame: 185; track: 1; class: hummingbird; bbox: (111, 30, 343, 190);
frame: 186; track: 1; class: hummingbird; bbox: (109, 30, 342, 189);
frame: 187; track: 1; class: hummingbird; bbox: (106, 30, 344, 191);
frame: 188; track: 1; class: hummingbird; bbox: (112, 30, 357, 194);
frame: 189; track: 1; class: hummingbird; bbox: (105, 30, 349, 192);
frame: 190; track: 1; class: hummingbird; bbox: (103, 30, 345, 190);
frame: 191; track: 1; class: hummingbird; bbox: (101, 30, 344, 189);
frame: 192; track: 1; class: hummingbird; bbox: (100, 30, 347, 192);
frame: 193; track: 1; class: hummingbird; bbox: (106, 29, 359, 194);
frame: 194; track: 1; class: hummingbird; bbox: (102, 29, 354, 193);
frame: 195; track: 1; class: hummingbird; bbox: (101, 29, 350, 190);
frame: 196; track: 1; class: hummingbird; bbox: (98, 29, 347, 190);
frame: 197; track: 1; class: hummingbird; bbox: (97, 29, 350, 193);
frame: 198; track: 1; class: hummingbird; bbox: (105, 29, 363, 195);
frame: 199; track: 1; class: hummingbird; bbox: (103, 29, 361, 193);
frame: 200; track: 1; class: hummingbird; bbox: (101, 29, 353, 189);
frame: 201; track: 1; class: hummingbird; bbox: (101, 29, 350, 187);
frame: 202; track: 1; class: hummingbird; bbox: (100, 29, 352, 188);
frame: 203; track: 1; class: hummingbird; bbox: (104, 29, 362, 191);
frame: 204; track: 1; class: hummingbird; bbox: (105, 29, 364, 191);
frame: 205; track: 1; class: hummingbird; bbox: (101, 29, 356, 187);
frame: 206; track: 1; class: hummingbird; bbox: (85, 11, 363, 185);
frame: 207; track: 1; class: hummingbird; bbox: (73, 3, 366, 188);
frame: 208; track: 1; class: hummingbird; bbox: (88, 21, 363, 195);
frame: 209; track: 1; class: hummingbird; bbox: (107, 30, 381, 204);
frame: 210; track: 1; class: hummingbird; bbox: (108, 36, 380, 212);
frame: 212; track: 1; class: hummingbird; bbox: (87, 13, 399, 221);
frame: 213; track: 1; class: hummingbird; bbox: (79, 5, 396, 223);
frame: 214; track: 1; class: hummingbird; bbox: (113, 37, 387, 229);
frame: 215; track: 1; class: hummingbird; bbox: (142, 55, 386, 224);
frame: 217; track: 1; class: hummingbird; bbox: (141, 30, 357, 174);
frame: 218; track: 1; class: hummingbird; bbox: (133, 9, 358, 158);
frame: 219; track: 1; class: hummingbird; bbox: (123, 2, 363, 161);
frame: 220; track: 1; class: hummingbird; bbox: (122, -1, 362, 157);
frame: 223; track: 1; class: hummingbird; bbox: (117, 14, 384, 189);
frame: 224; track: 1; class: hummingbird; bbox: (124, 13, 389, 184);
frame: 226; track: 1; class: hummingbird; bbox: (107, 11, 476, 266);
frame: 227; track: 1; class: hummingbird; bbox: (119, 14, 491, 287);
frame: 228; track: 1; class: hummingbird; bbox: (133, 24, 437, 243);
frame: 230; track: 1; class: hummingbird; bbox: (166, 46, 475, 273);
frame: 231; track: 1; class: hummingbird; bbox: (189, 68, 471, 273);
frame: 232; track: 1; class: hummingbird; bbox: (201, 97, 425, 251);
frame: 233; track: 1; class: hummingbird; bbox: (157, 65, 432, 253);
frame: 234; track: 1; class: hummingbird; bbox: (210, 123, 430, 262);
frame: 235; track: 1; class: hummingbird; bbox: (220, 131, 450, 272);
frame: 236; track: 1; class: hummingbird; bbox: (211, 146, 453, 293);
frame: 237; track: 1; class: hummingbird; bbox: (164, 145, 464, 328);
frame: 238; track: 1; class: hummingbird; bbox: (156, 159, 468, 350);
frame: 239; track: 1; class: hummingbird; bbox: (195, 148, 527, 358);
frame: 240; track: 1; class: hummingbird; bbox: (195, 120, 557, 362);
frame: 241; track: 1; class: hummingbird; bbox: (177, 154, 497, 364);
frame: 242; track: 1; class: hummingbird; bbox: (174, 172, 470, 363);
frame: 244; track: 1; class: hummingbird; bbox: (196, 123, 547, 362);
frame: 245; track: 1; class: hummingbird; bbox: (199, 154, 506, 362);
frame: 246; track: 1; class: hummingbird; bbox: (193, 176, 471, 361);
frame: 247; track: 1; class: hummingbird; bbox: (198, 185, 465, 360);
frame: 248; track: 1; class: hummingbird; bbox: (229, 148, 539, 360);
frame: 250; track: 1; class: hummingbird; bbox: (207, 174, 485, 360);
frame: 251; track: 1; class: hummingbird; bbox: (197, 187, 461, 360);
frame: 253; track: 1; class: hummingbird; bbox: (230, 159, 528, 359);
frame: 254; track: 1; class: hummingbird; bbox: (239, 182, 502, 359);
frame: 255; track: 1; class: hummingbird; bbox: (213, 192, 464, 358);
frame: 256; track: 1; class: hummingbird; bbox: (211, 191, 464, 359);
frame: 257; track: 1; class: hummingbird; bbox: (233, 192, 490, 357);
frame: 259; track: 1; class: hummingbird; bbox: (228, 199, 462, 347);
frame: 260; track: 1; class: hummingbird; bbox: (220, 198, 451, 341);
frame: 261; track: 1; class: hummingbird; bbox: (224, 204, 446, 339);
frame: 262; track: 1; class: hummingbird; bbox: (224, 206, 445, 338);
frame: 263; track: 1; class: hummingbird; bbox: (223, 208, 443, 337);
frame: 264; track: 1; class: hummingbird; bbox: (205, 191, 455, 336);
frame: 265; track: 1; class: hummingbird; bbox: (214, 201, 449, 336);
frame: 266; track: 1; class: hummingbird; bbox: (215, 206, 446, 335);
frame: 267; track: 1; class: hummingbird; bbox: (216, 208, 444, 334);
frame: 268; track: 1; class: hummingbird; bbox: (195, 184, 464, 333);
frame: 269; track: 1; class: hummingbird; bbox: (194, 184, 465, 334);
frame: 270; track: 1; class: hummingbird; bbox: (204, 200, 455, 338);
frame: 271; track: 1; class: hummingbird; bbox: (207, 206, 451, 339);
frame: 272; track: 1; class: hummingbird; bbox: (207, 209, 449, 339);
frame: 273; track: 1; class: hummingbird; bbox: (185, 182, 471, 338);
frame: 274; track: 1; class: hummingbird; bbox: (197, 198, 457, 338);
frame: 275; track: 1; class: hummingbird; bbox: (205, 206, 451, 335);
frame: 276; track: 1; class: hummingbird; bbox: (206, 208, 446, 333);
frame: 277; track: 1; class: hummingbird; bbox: (185, 185, 464, 331);
frame: 278; track: 1; class: hummingbird; bbox: (196, 199, 452, 331);
frame: 279; track: 1; class: hummingbird; bbox: (204, 206, 451, 330);
frame: 280; track: 1; class: hummingbird; bbox: (204, 208, 447, 329);
frame: 281; track: 1; class: hummingbird; bbox: (185, 189, 465, 329);
frame: 282; track: 1; class: hummingbird; bbox: (169, 170, 482, 329);
frame: 283; track: 1; class: hummingbird; bbox: (189, 193, 461, 329);
frame: 285; track: 1; class: hummingbird; bbox: (198, 204, 450, 328);
frame: 286; track: 1; class: hummingbird; bbox: (188, 193, 462, 328);
frame: 287; track: 1; class: hummingbird; bbox: (196, 202, 454, 329);
frame: 288; track: 1; class: hummingbird; bbox: (202, 207, 455, 329);
frame: 289; track: 1; class: hummingbird; bbox: (201, 209, 453, 329);
frame: 290; track: 1; class: hummingbird; bbox: (181, 187, 475, 329);
frame: 291; track: 1; class: hummingbird; bbox: (173, 177, 485, 331);
frame: 292; track: 1; class: hummingbird; bbox: (189, 195, 469, 332);
frame: 293; track: 1; class: hummingbird; bbox: (197, 204, 461, 333);
frame: 294; track: 1; class: hummingbird; bbox: (198, 206, 458, 332);
frame: 295; track: 1; class: hummingbird; bbox: (177, 183, 480, 332);
frame: 296; track: 1; class: hummingbird; bbox: (191, 197, 466, 332);
frame: 297; track: 1; class: hummingbird; bbox: (197, 204, 465, 334);
frame: 298; track: 1; class: hummingbird; bbox: (202, 206, 466, 333);
frame: 299; track: 1; class: hummingbird; bbox: (189, 194, 472, 332);
frame: 300; track: 1; class: hummingbird; bbox: (173, 179, 484, 332);
frame: 301; track: 1; class: hummingbird; bbox: (189, 196, 468, 333);
frame: 303; track: 1; class: hummingbird; bbox: (197, 204, 459, 332);
frame: 304; track: 1; class: hummingbird; bbox: (183, 191, 471, 332);
frame: 305; track: 1; class: hummingbird; bbox: (177, 182, 478, 333);
frame: 306; track: 1; class: hummingbird; bbox: (192, 199, 464, 333);
frame: 307; track: 1; class: hummingbird; bbox: (199, 206, 458, 333);
frame: 308; track: 1; class: hummingbird; bbox: (201, 208, 455, 333);
frame: 309; track: 1; class: hummingbird; bbox: (172, 181, 479, 334);
frame: 310; track: 1; class: hummingbird; bbox: (189, 198, 464, 334);
